,video,method,metric_name,metric_value
55,drift-turn,Oh et al.,PSNR,29.07061159
56,rollerblade,Oh et al.,PSNR,32.0017349
57,kid-football,Oh et al.,PSNR,30.0682942
58,drift-chicane,Oh et al.,PSNR,31.18175966
59,lucia,Oh et al.,PSNR,31.12730141
60,color-run,Oh et al.,PSNR,27.10009179
61,lab-coat,Oh et al.,PSNR,34.91004292
62,hockey,Oh et al.,PSNR,33.87314877
63,elephant,Oh et al.,PSNR,33.46846339
64,dog-gooses,Oh et al.,PSNR,29.76136127
65,planes-water,Oh et al.,PSNR,31.76932829
66,india,Oh et al.,PSNR,29.38390369
67,dog,Oh et al.,PSNR,28.79213888
68,swing,Oh et al.,PSNR,31.68589644
69,kite-surf,Oh et al.,PSNR,32.18533699
70,mbike-trick,Oh et al.,PSNR,31.23050256
71,pigs,Oh et al.,PSNR,39.92551862
72,breakdance-flare,Oh et al.,PSNR,34.67566531
1,boxing-fisheye,Our Result,SSIM,0.9626532072
2,longboard,Our Result,SSIM,0.9528766025
3,lady-running,Our Result,SSIM,0.9660537931
4,cat-girl,Our Result,SSIM,0.953812386
5,walking,Our Result,SSIM,0.9495055758
6,scooter-black,Our Result,SSIM,0.9614648988
7,dogs-scale,Our Result,SSIM,0.9600887164
8,rallye,Our Result,SSIM,0.8927394763
9,motorbike,Our Result,SSIM,0.9752247658
10,drift-straight,Our Result,SSIM,0.9729179602
11,mallard-water,Our Result,SSIM,0.8979710971
12,scooter-board,Our Result,SSIM,0.9699877259
13,bear,Our Result,SSIM,0.9726360761
14,varanus-cage,Our Result,SSIM,0.9556245116
15,horsejump-low,Our Result,SSIM,0.9721727298
16,schoolgirls,Our Result,SSIM,0.8618006652
17,car-turn,Our Result,SSIM,0.9720323798
18,motocross-jump,Our Result,SSIM,0.9661835169
19,car-shadow,Our Result,SSIM,0.9818484717
20,tennis,Our Result,SSIM,0.9829306596
21,crossing,Our Result,SSIM,0.8963502875
22,bus,Our Result,SSIM,0.9663573222
23,motocross-bumps,Our Result,SSIM,0.9641535962
24,train,Our Result,SSIM,0.9599719119
25,camel,Our Result,SSIM,0.9716713722
26,breakdance,Our Result,SSIM,0.8908564314
27,mallard-fly,Our Result,SSIM,0.9631967893
28,upside-down,Our Result,SSIM,0.9411541204
29,classic-car,Our Result,SSIM,0.9525275525
30,gold-fish,Our Result,SSIM,0.9582180409
31,bike-packing,Our Result,SSIM,0.9321395468
32,paragliding-launch,Our Result,SSIM,0.9791958936
33,bmx-trees,Our Result,SSIM,0.9804296212
34,flamingo,Our Result,SSIM,0.9583615392
35,tractor-sand,Our Result,SSIM,0.9822863372
36,dogs-jump,Our Result,SSIM,0.9649644115
37,horsejump-high,Our Result,SSIM,0.9737677589
38,dog-agility,Our Result,SSIM,0.9156107262
39,disc-jockey,Our Result,SSIM,0.984997668
40,hike,Our Result,SSIM,0.9750925728
41,miami-surf,Our Result,SSIM,0.9692018558
42,dance-jump,Our Result,SSIM,0.9620372921
43,lindy-hop,Our Result,SSIM,0.9398181241
44,tuk-tuk,Our Result,SSIM,0.9330384352
45,judo,Our Result,SSIM,0.9473709344
46,blackswan,Our Result,SSIM,0.9506247613
47,boat,Our Result,SSIM,0.9443344621
48,car-roundabout,Our Result,SSIM,0.9697162018
49,loading,Our Result,SSIM,0.965178163
50,night-race,Our Result,SSIM,0.9705173361
51,dancing,Our Result,SSIM,0.9113345981
52,paragliding,Our Result,SSIM,0.9883397939
53,kite-walk,Our Result,SSIM,0.9523439935
54,libby,Our Result,SSIM,0.9781129116
