video_id,video,method,metric_name,metric_value
67,dog,Huang,psnr,32.34337091
68,swing,Huang,psnr,32.20687859
69,kite-surf,Huang,psnr,32.14656822
70,mbike-trick,Huang,psnr,31.70903334
71,pigs,Huang,psnr,31.29004758
72,breakdance-flare,Huang,psnr,36.52936379
1,boxing-fisheye,Xu,psnr,20.14780673
2,longboard,Xu,psnr,21.58063663
3,lady-running,Xu,psnr,21.47898702
4,cat-girl,Xu,psnr,22.50437279
5,walking,Xu,psnr,22.43108194
6,scooter-black,Xu,psnr,21.96329504
7,dogs-scale,Xu,psnr,22.39363294
8,rallye,Xu,psnr,23.68317625
9,motorbike,Xu,psnr,25.02516716
10,drift-straight,Xu,psnr,23.81950568
11,mallard-water,Xu,psnr,23.38410669
12,scooter-board,Xu,psnr,26.62564443
13,bear,Xu,psnr,23.58434019
14,varanus-cage,Xu,psnr,24.7562234
15,horsejump-low,Xu,psnr,25.74923355
16,schoolgirls,Xu,psnr,27.86027304
17,car-turn,Xu,psnr,24.8597375
18,motocross-jump,Xu,psnr,26.1953526
19,car-shadow,Xu,psnr,28.16668565
20,tennis,Xu,psnr,25.6345892
21,crossing,Xu,psnr,26.65615675
22,bus,Xu,psnr,26.10269925
23,motocross-bumps,Xu,psnr,26.90723002
24,train,Xu,psnr,26.64120096
25,camel,Xu,psnr,25.93326394
26,breakdance,Xu,psnr,28.71674651
27,mallard-fly,Xu,psnr,27.09075621
28,upside-down,Xu,psnr,27.53962525
29,classic-car,Xu,psnr,28.93432297
30,gold-fish,Xu,psnr,26.63610686
31,bike-packing,Xu,psnr,27.681378
32,paragliding-launch,Xu,psnr,27.07290322
33,bmx-trees,Xu,psnr,26.59232432
34,flamingo,Xu,psnr,26.74610248
35,tractor-sand,Xu,psnr,27.42966493
36,dogs-jump,Xu,psnr,27.0328781
37,horsejump-high,Xu,psnr,27.03368966
38,dog-agility,Xu,psnr,27.28279196
39,disc-jockey,Xu,psnr,29.1926018
40,hike,Xu,psnr,27.36401188
41,miami-surf,Xu,psnr,27.18718665
42,dance-jump,Xu,psnr,28.92869425
43,lindy-hop,Xu,psnr,27.78196124
44,tuk-tuk,Xu,psnr,30.19486525
45,judo,Xu,psnr,26.93131998
46,blackswan,Xu,psnr,29.46882628
47,boat,Xu,psnr,26.43652569
48,car-roundabout,Xu,psnr,27.42432208
49,loading,Xu,psnr,28.32773481
50,night-race,Xu,psnr,29.38615242
51,dancing,Xu,psnr,30.24217488
52,paragliding,Xu,psnr,27.27462466
53,kite-walk,Xu,psnr,29.66701302
54,libby,Xu,psnr,30.52422277
55,drift-turn,Xu,psnr,26.95281479
56,rollerblade,Xu,psnr,30.17963924
57,kid-football,Xu,psnr,29.36047966
58,drift-chicane,Xu,psnr,29.65176846
59,lucia,Xu,psnr,31.42081532
60,color-run,Xu,psnr,26.47662201
61,lab-coat,Xu,psnr,31.9615624
62,hockey,Xu,psnr,29.67273499
63,elephant,Xu,psnr,27.64198423
64,dog-gooses,Xu,psnr,29.26000218
65,planes-water,Xu,psnr,28.99236581
66,india,Xu,psnr,28.51667947
67,dog,Xu,psnr,28.54851434
68,swing,Xu,psnr,31.62700029
69,kite-surf,Xu,psnr,29.41765459
70,mbike-trick,Xu,psnr,29.77822429
71,pigs,Xu,psnr,26.74845129
72,breakdance-flare,Xu,psnr,33.87594954
1,boxing-fisheye,Newson,psnr,21.08510438
2,longboard,Newson,psnr,21.9135167
3,lady-running,Newson,psnr,22.36730081
4,cat-girl,Newson,psnr,21.95631001
5,walking,Newson,psnr,21.55628335
6,scooter-black,Newson,psnr,22.28849022
7,dogs-scale,Newson,psnr,23.5626482
8,rallye,Newson,psnr,22.82338502
9,motorbike,Newson,psnr,24.23014583
10,drift-straight,Newson,psnr,24.39923042
11,mallard-water,Newson,psnr,23.50926652
12,scooter-board,Newson,psnr,24.97485023
13,bear,Newson,psnr,24.96519688
14,varanus-cage,Newson,psnr,24.70404074
15,horsejump-low,Newson,psnr,24.98093431
16,schoolgirls,Newson,psnr,29.81322128
17,car-turn,Newson,psnr,25.52355842
18,motocross-jump,Newson,psnr,27.07144418
19,car-shadow,Newson,psnr,26.05283493
20,tennis,Newson,psnr,25.76773533
21,crossing,Newson,psnr,24.60636123
22,bus,Newson,psnr,24.90806262
23,motocross-bumps,Newson,psnr,26.46350138
24,train,Newson,psnr,26.75414683
25,camel,Newson,psnr,24.94478252
26,breakdance,Newson,psnr,26.32842368
27,mallard-fly,Newson,psnr,26.87845633
28,upside-down,Newson,psnr,25.94425539
29,classic-car,Newson,psnr,30.67312716
30,gold-fish,Newson,psnr,25.31846916
